id,current_price,market_cap,price_change_percentage_24h,ath,atl,time_stamp
optimism,0.786622,1349087655,4.13528,4.84,0.402159,29/05/2025
blockstack,0.855799,1308327103,-2.30843,3.86,0.04559639,29/05/2025
rocket-pool-eth,3101.08,1295117329,3.57319,4814.31,887.26,29/05/2025
fartcoin,1.29,1291448777,-4.80513,2.48,0.02002855,29/05/2025
nexo,1.25,1254709665,-0.31733,4.07,0.04515276,29/05/2025
usdt0,1.002,1252955255,0.25006,1.052,0.975737,29/05/2025
sei-network,0.227144,1211523506,1.1728,1.14,0.095364,29/05/2025
story-2,4.32,1209556673,-1.89634,7.31,1.0,29/05/2025
flare-networks,0.01840142,1205028596,-1.67611,0.150073,0.00827405,29/05/2025
immutable-x,0.637952,1175152313,0.24415,9.52,0.353994,29/05/2025
eos,0.744532,1129042722,-3.54487,22.71,0.402746,29/05/2025
dogwifcoin,1.11,1112248457,1.93951,4.83,0.00155464,29/05/2025
spx6900,1.14,1060493955,14.30164,1.72,0.00131808,29/05/2025
the-graph,0.110576,1056711243,-0.56676,2.84,0.052051,29/05/2025
curve-dao-token,0.783358,1052324903,2.40446,15.37,0.180354,29/05/2025
xdce-crowd-sale,0.063847,1035185350,-3.22796,0.192754,0.00039532,29/05/2025
solv-btc,107625.0,1015431036,-1.05897,111685.0,49058.0,29/05/2025
mantle-staked-ether,2909.79,1001675754,3.52833,4729.53,1485.62,29/05/2025
maker,1750.44,998818497,5.49389,6292.31,168.36,29/05/2025
binance-bridged-usdc-bnb-smart-chain,0.99853,997107682,-0.01044,1.031,0.942892,29/05/2025
floki,0.00010299,996032571,2.59737,0.00034495,8.428e-08,29/05/2025
msol,224.01,944449786,-0.71994,363.77,8.93,29/05/2025
renzo-restaked-eth,2872.33,913568871,3.86497,4207.05,1454.43,29/05/2025
wbnb,683.75,901045623,0.16225,789.32,23.6,29/05/2025
arbitrum-bridged-wbtc-arbitrum-one,107989.0,894386706,-0.70038,111929.0,49594.0,29/05/2025
raydium,3.08,890764880,-3.24178,16.83,0.134391,29/05/2025
paypal-usd,0.999544,877000733,-0.01874,1.021,0.959426,29/05/2025
pancakeswap-token,2.72,875120437,-0.49601,43.96,0.194441,29/05/2025
theta-token,0.871329,872295078,-0.15995,15.72,0.04039979,29/05/2025
jupiter-staked-sol,192.13,872139533,-0.73612,309.67,105.7,29/05/2025
gala,0.01952826,872112435,1.57911,0.824837,0.00013475,29/05/2025
lido-dao,0.96905,870020968,8.04051,7.3,0.40615,29/05/2025
zcash,53.27,856659936,4.31861,3191.93,16.08,29/05/2025
polygon-bridged-usdt-polygon,1.0,854971780,-0.01278,1.027,0.945933,29/05/2025
stakewise-v3-oseth,2860.99,851863052,3.70478,4228.59,1459.73,29/05/2025
clbtc,107678.0,835685381,-0.59322,114212.0,51493.0,29/05/2025
jasmycoin,0.01715833,830922966,-1.80955,4.79,0.00275026,29/05/2025
ethereum-name-service,24.57,814938400,6.87298,83.4,6.69,29/05/2025
coredaoorg,0.81074,813174014,-2.1357,6.14,0.334237,29/05/2025
tether-gold,3281.2,808898433,-0.94331,3530.16,1447.84,29/05/2025
iota,0.20839,792384562,-0.3361,5.25,0.081637,29/05/2025
pax-gold,3294.18,789460071,-0.85821,3518.57,1399.64,29/05/2025
pyth-network,0.137002,787610226,-0.96529,1.2,0.10565,29/05/2025
pudgy-penguins,0.01241786,780309057,-1.87355,0.068447,0.00371517,29/05/2025
the-sandbox,0.306994,750404749,0.2748,8.4,0.02897764,29/05/2025
pendle,4.6,746258088,2.1854,7.5,0.03377729,29/05/2025
walrus-2,0.56304,740547843,-3.75678,0.759179,0.360808,29/05/2025
bitcoin-cash-sv,36.61,727427738,-0.67129,489.75,21.43,29/05/2025
bittorrent,7.2879e-07,718544639,0.55457,3.43e-06,3.65368e-07,29/05/2025
dexe,12.5,713683747,0.30626,32.38,0.671563,29/05/2025
solv-protocol-solvbtc-bbn,107327.0,691082364,-0.94373,117077.0,11402.13,29/05/2025
helium,3.76,689014185,0.88797,54.88,0.113248,29/05/2025
based-brett,0.068154,675741081,3.14257,0.234204,0.00084753,29/05/2025
usdx-money-usdx,0.999961,670539567,-0.00777,1.057,0.944423,29/05/2025
thorchain,1.9,670222771,-2.37281,20.87,0.00851264,29/05/2025
kaia,0.114568,669709310,0.67734,0.406698,0.090737,29/05/2025
tezos,0.640495,669690980,1.86238,9.12,0.350476,29/05/2025
ousg,111.22,650759295,0.01085,111.22,95.09,29/05/2025
flow,0.404444,641483952,0.65777,42.4,0.303987,29/05/2025
usual-usd,0.997625,632016419,0.00162,1.33,0.962885,29/05/2025
jito-governance-token,1.89,631612407,-2.61003,6.01,1.43,29/05/2025
polyhedra-network,2.02,623347937,-0.61657,4.01,1.041,29/05/2025
chain-2,0.01819025,611410687,-1.56657,0.184139,0.0007055,29/05/2025
ket,0.608354,608728545,3.40779,0.61664,0.0085598,29/05/2025
super-oeth,2730.53,598535752,3.51698,4099.87,1312.97,29/05/2025
l2-standard-bridged-weth-base,2730.91,590155907,3.54472,4096.05,1394.17,29/05/2025
decentraland,0.310913,589548055,-0.11609,5.85,0.00923681,29/05/2025
ondo-us-dollar-yield,1.09,583652717,-0.08419,1.26,0.934184,29/05/2025
grass,2.12,582907987,-7.49102,3.89,0.654959,29/05/2025
apecoin,0.724778,579464030,4.2093,26.7,0.354833,29/05/2025
binance-peg-dogecoin,0.224135,575536277,0.28812,0.480585,0.04955727,29/05/2025
kaito,2.34,564606854,0.19726,2.88,0.674693,29/05/2025
cgeth-hashkey-cloud,2832.6,563581495,3.93147,3129.19,1430.7,29/05/2025
mantle-restaked-eth,2910.05,561135387,3.33714,4298.87,1480.7,29/05/2025
saros-finance,0.203581,531331757,1.7011,0.220439,0.00101093,29/05/2025
bitcoin-avalanche-bridged-btc-b,107906.0,529815476,-0.88496,111931.0,7806.11,29/05/2025
eigenlayer,1.7,520701019,12.75916,5.65,0.668501,29/05/2025
dog-go-to-the-moon-rune,0.00513296,513292943,-0.98133,0.0099237,0.00100496,29/05/2025
arbitrum-bridged-weth-arbitrum-one,2730.57,511545500,3.56678,4097.16,1395.31,29/05/2025
elrond-erd-2,17.95,507471018,-2.26595,545.64,6.51,29/05/2025
starknet,0.162434,505245395,1.89808,4.41,0.11,29/05/2025
aioz-network,0.429121,502927453,-0.42096,2.65,0.01099588,29/05/2025
dydx-chain,0.641353,497980773,2.94437,4.52,0.495631,29/05/2025
aerodrome-finance,0.599799,497642990,1.34013,2.32,1.861e-05,29/05/2025
true-usd,0.998866,494952688,0.011,1.62,0.88355,29/05/2025
tbtc,107955.0,489937766,-0.9137,111782.0,10104.3,29/05/2025
arweave,7.47,489151874,-0.0113,89.24,0.298788,29/05/2025
syrupusdc,1.1,487665023,0.02749,1.1,1.07,29/05/2025
ether-fi,1.47,481783099,5.69724,8.53,0.40432,29/05/2025
reserve-rights-token,0.00832543,479503492,-1.94803,0.117424,0.00121354,29/05/2025
neo,6.66,470049828,0.38064,198.38,0.078349,29/05/2025
axie-infinity,2.88,465989844,0.48511,164.9,0.123718,29/05/2025
aethir,0.051172,464888086,-1.64901,0.118536,0.02439678,29/05/2025
ronin,0.709339,464319616,5.56614,4.45,0.196601,29/05/2025
mog-coin,1.18e-06,461160303,0.54948,4.02e-06,4.526e-09,29/05/2025
bridged-usdc-polygon-pos-bridge,0.999802,458410094,-0.00024,1.028,0.975633,29/05/2025
kava,0.422852,457951988,-3.41064,9.12,0.247359,29/05/2025
wormhole,0.099057,456391024,-3.75912,1.66,0.065244,29/05/2025
syrup,0.42217,453138734,-6.30027,0.456383,0.085229,29/05/2025
conflux-token,0.08921,452546766,1.33782,1.7,0.02199898,29/05/2025
wrapped-hype,34.63,449404760,-2.29912,39.79,9.43,29/05/2025
zebec-network,0.00549404,444530776,22.90323,0.00576395,0.00069854,29/05/2025
popcat,0.450408,442039064,-2.64316,2.05,0.00379728,29/05/2025
beldex,0.06171,440986591,0.21812,0.450785,0.00027519,29/05/2025
ecash,2.206e-05,438395789,-0.1285,0.00038001,1.604e-05,29/05/2025
deep,0.17353,433824770,-5.73895,0.341085,0.01073218,29/05/2025
pumpbtc,103938.0,429163751,-1.84199,109781.0,48890.0,29/05/2025
apenft,4.31114e-07,426741703,-1.45662,7.53e-06,2.98737e-07,29/05/2025
movement,0.166282,424065492,-2.36635,1.45,0.154046,29/05/2025
chiliz,0.04397899,423440620,0.208,0.878633,0.00410887,29/05/2025
usdb,1.006,408936919,0.01981,1.088,0.882623,29/05/2025
hashnote-usyc,1.088,408757249,-0.0258,1.12,1.026,29/05/2025
morpho,1.48,406005283,0.41644,4.17,0.713151,29/05/2025
mimblewimblecoin,36.91,405703115,0.21037,38.81,0.298733,29/05/2025
stader-ethx,2896.87,402644000,3.58654,4275.3,1474.49,29/05/2025
akash-network,1.48,401300002,-2.66882,8.07,0.164994,29/05/2025
telcoin,0.00433978,398824975,-1.72685,0.064483,6.474e-05,29/05/2025
compound-governance-token,43.05,390972817,1.17801,910.54,25.74,29/05/2025
beam-2,0.00745085,390929051,-3.56564,0.04416304,0.0043383,29/05/2025
usdd,1.0,387480099,0.0077,1.052,0.928067,29/05/2025
falcon-finance,0.999593,385827720,-0.01624,1.075,0.94524,29/05/2025
mantle-bridged-usdt-mantle,1.0,385807481,-0.15789,1.26,0.869914,29/05/2025
amp-token,0.0045456,382940162,-0.45305,0.120813,0.00140933,29/05/2025
plume,0.1574,382461019,-1.93924,0.247537,0.084391,29/05/2025
build-on,0.380071,379894718,-2.58324,0.453065,0.175498,29/05/2025
mantra-dao,0.392527,379603773,0.50619,8.99,0.01726188,29/05/2025
